ageb,POBTOT,x,y,n_denue,lon,lat,dist_hosp_m,dist_salud_m,hosp_caminando_min,hosp_auto_min,salud_caminando_min,salud_auto_min
0017,5868,494314.1477775191,2144819.5127446293,532.0,-99.05415230440444,19.397569778518672,1265.319121646541,220.2101367383699,16.87092162195388,3.795957364939623,2.9361351565115985,0.6606304102151097
0021,7518,493992.83306173695,2144355.016943797,205.0,-99.05721105172084,19.393371057059092,1613.630062735937,257.02836630195765,21.515067503145826,4.840890188207811,3.427044884026102,0.771085098905873
0036,10273,494523.0769416042,2143898.1270093275,508.0,-99.05215980189502,19.389243525768286,1066.1349854963994,182.5500927407553,14.215133139951991,3.1984049564891985,2.434001236543404,0.547650278222266
0040,3860,495110.2356593102,2144405.059429801,274.0,-99.04656926529,19.39382634258848,183.0447540279061,183.0447540279061,2.4405967203720813,0.5491342620837183,2.4405967203720813,0.5491342620837183
0055,3701,491307.8580222581,2143932.6004823856,62.0,-99.08278026825349,19.389543713280677,4702.250810670551,1572.967804647357,62.696677475607345,14.106752432011653,20.972904061964762,4.718903413942072
006A,2957,493925.8734971825,2143659.172247398,54.0,-99.05784653958494,19.387082300022687,1767.2956897415945,252.21456837740072,23.563942529887928,5.301887069224784,3.3628609116986765,0.7566437051322022
0074,2480,495007.2945320249,2144024.6985562127,151.0,-99.0475486602733,19.390388654767527,661.037717528787,465.89750517211473,8.81383623371716,1.983113152586361,6.211966735628196,1.3976925155163442
0089,2144,495457.94471705134,2144219.0159020643,308.0,-99.04325730123502,19.39214583002504,455.62190495041864,232.41290523261182,6.074958732672249,1.366865714851256,3.0988387364348244,0.6972387156978355
0093,1677,490799.2248884678,2143816.9247217244,39.0,-99.08762371077252,19.38849604829648,4068.82846713313,1767.8438167181982,54.25104622844173,12.20648540139939,23.57125088957598,5.303531450154595
0106,1524,490975.0033392127,2143799.235228901,37.0,-99.08594959975235,19.38833698195705,4280.206055665484,1845.648454857816,57.06941407553979,12.840618166996453,24.60864606477088,5.536945364573448
0110,1932,491348.4871764229,2143699.559289704,31.0,-99.0823922742528,19.38743782719338,4404.043731569411,1371.1382511362108,58.720583087592146,13.212131194708233,18.28184334848281,4.113414753408633
013A,2880,494156.35845550575,2143517.445478371,61.0,-99.05565109704128,19.385802157356277,1468.6094899552077,201.30195461185141,19.581459866069437,4.405828469865623,2.6840260614913523,0.6039058638355542
0144,1855,494812.1636000169,2143685.056238511,36.0,-99.0494060878558,19.38731870996783,624.90765966949,163.47990552320044,8.332102128926534,1.8747229790084703,2.1797320736426724,0.49043971656960134
0178,2948,496220.7301672943,2143727.560010146,416.0,-99.03599176477375,19.387705978512788,1231.0223027970633,104.57421393578001,16.413630703960845,3.6930669083911902,1.3943228524770668,0.31372264180734005
0182,2946,490597.8341237469,2143422.7364761475,26.0,-99.08953970941415,19.38493271904228,3684.7740114986664,1207.8479904385858,49.13032015331555,11.054322034496,16.10463987251448,3.623543971315758
0197,2762,491043.2368836445,2143335.070100812,41.0,-99.08529759337743,19.384142490384924,4125.393888326718,1529.1495785350066,55.005251844356245,12.376181664980155,20.38866104713342,4.58744873560502
0214,6202,493321.8087122156,2142784.3570692157,313.0,-99.06359623880346,19.37917440946341,2757.717248497685,504.55851490627185,36.76956331330246,8.273151745493056,6.727446865416958,1.5136755447188157
0229,0,493710.5559580367,2143325.8297060267,11.0,-99.05989599948964,19.384069119298577,2073.932379252131,117.05937940982389,27.652431723361744,6.221797137756393,1.5607917254643184,0.3511781382294717
