ageb,POBTOT,x,y,n_denue,lon,lat
0017,5868,494314.1477775191,2144819.5127446293,532.0,-99.05415230440443,19.397569778518672
0021,7518,493992.83306173695,2144355.016943797,205.0,-99.05721105172084,19.393371057059095
0036,10273,494523.0769416042,2143898.1270093275,508.0,-99.05215980189502,19.389243525768286
0040,3860,495110.2356593102,2144405.059429801,274.0,-99.04656926528999,19.39382634258848
0055,3701,491307.8580222581,2143932.6004823856,62.0,-99.08278026825347,19.389543713280673
006A,2957,493925.8734971825,2143659.172247398,54.0,-99.05784653958494,19.387082300022687
0074,2480,495007.2945320249,2144024.6985562127,151.0,-99.0475486602733,19.390388654767527
0089,2144,495457.94471705134,2144219.0159020643,308.0,-99.04325730123502,19.39214583002504
0093,1677,490799.2248884678,2143816.9247217244,39.0,-99.08762371077252,19.388496048296478
0106,1524,490975.0033392127,2143799.235228901,37.0,-99.08594959975235,19.38833698195705
0110,1932,491348.48717642284,2143699.559289704,31.0,-99.0823922742528,19.38743782719338
013A,2880,494156.35845550575,2143517.445478371,61.0,-99.05565109704128,19.385802157356274
0144,1855,494812.1636000169,2143685.056238511,36.0,-99.04940608785581,19.38731870996783
0178,2948,496220.7301672943,2143727.560010146,416.0,-99.03599176477377,19.387705978512788
0182,2946,490597.8341237469,2143422.7364761475,26.0,-99.08953970941415,19.384932719042276
0197,2762,491043.23688364454,2143335.0701008122,41.0,-99.08529759337743,19.384142490384924
0214,6202,493321.80871221557,2142784.3570692153,313.0,-99.06359623880346,19.379174409463406
0229,0,493710.5559580367,2143325.8297060267,11.0,-99.05989599948964,19.384069119298577
0233,1933,494367.2115223037,2143066.3254437186,59.0,-99.0536417332901,19.38172585163662
0248,1549,494559.3218642987,2143162.2939450676,64.0,-99.05181251785766,19.38259367857423
0252,3188,494708.3166663729,2143411.923732404,68.0,-99.05039430899119,19.384850057599603
0271,4150,497110.035369779,2143367.534636589,281.0,-99.02752194706744,19.384453798207232
0286,2480,496344.7877319407,2143235.1461029793,92.0,-99.03480936072086,19.383256113900597
0290,1588,496342.79232313513,2143036.641645171,21.0,-99.034827982065,19.38146216435997
0303,1103,496214.235110155,2142998.8089494114,43.0,-99.0360521708226,19.381120020121223
0318,3528,497460.020682443,2143185.567659632,154.0,-99.02418869579617,19.382809780413183
0322,4540,487361.6000138488,2142826.3025882137,244.0,-99.12035535567918,19.379524792045892
0337,5329,487718.3095867716,2142815.763305248,128.0,-99.1169583513682,19.379431760749366
0356,5122,488394.92469922453,2142717.24136318,403.0,-99.1105143646166,19.37854541656283
0360,5255,488344.8357670214,2142374.600514054,107.0,-99.11098926042976,19.375448578819476
0375,6884,489039.1198034965,2142744.4467314337,241.0,-99.10437990163959,19.378794902143724
038A,5123,489097.8739046776,2142293.8527653413,247.0,-99.10381781041202,19.374723069306576
0407,6972,492056.53325616516,2142615.315100783,396.0,-99.07564471109039,19.37764211511299
0411,4975,492631.9989957499,2142642.5220208094,409.0,-99.07016472614549,19.37789018803827
0426,8211,492772.5088559375,2142187.7667513797,377.0,-99.06882493989359,19.373780934964913
0445,3848,496347.0200778965,2142605.208251432,269.0,-99.03478689296894,19.37756317442748
0464,4863,497378.9531662812,2142227.372069338,166.0,-99.02495939782278,19.37415016308315
0479,4554,497958.6480758456,2142880.702864253,201.0,-99.01943984765424,19.38005519215579
0483,6782,486172.240573989,2142190.1363178124,363.0,-99.13167697304301,19.373767727565085
0498,5441,485867.6082000426,2141824.601778082,170.0,-99.13457516402961,19.370462162222573
0500,6227,486524.7895047127,2142032.556244105,149.0,-99.1283186629924,19.37234602783981
0515,7149,486901.1145575961,2141967.9769405015,289.0,-99.12473464288522,19.37176489665231
0534,4645,488269.0448131502,2141980.35354541,109.0,-99.11170856985858,19.371885208707635
0553,5795,492056.26190271863,2141788.62049104,421.0,-99.07564384728269,19.37017101854123
0568,5839,492455.7602760329,2141705.661332084,234.0,-99.07183931784697,19.369422831672424
0572,5325,492779.60728140693,2141402.930091268,384.0,-99.06875436947793,19.36668814434683
0587,2637,496509.38315430685,2141835.1906102183,20.0,-99.03323931771534,19.370604570500237
0591,3807,496787.1363427764,2141636.2135136365,139.0,-99.0305940841764,19.368806814420306
0604,3653,497091.61176450347,2141803.120413941,131.0,-99.02769501088802,19.370315669886526
0619,5610,497843.86041341064,2141968.591638584,475.0,-99.02053194084111,19.371812035282645
0623,5433,498368.11178074393,2142573.263384867,484.0,-99.01554025073818,19.377277140221604
0638,4162,498829.148317404,2142279.520997791,273.0,-99.01114968165132,19.374622819499713
0642,2515,485751.1074320714,2141140.191455807,129.0,-99.13567941783282,19.364276117935947
0657,1916,486272.90551552025,2141168.4224642916,28.0,-99.13071101605385,19.364534884988196
0676,2699,487347.37859671545,2141505.663187292,335.0,-99.1204820131071,19.367589690307465
0680,3125,487618.1369234805,2141372.55954571,143.0,-99.11790291121976,19.36638848013015
0695,3633,487875.5273244513,2141331.175438022,131.0,-99.11545172181437,19.366016050037814
0708,4420,488175.2189791631,2141292.3793861982,235.0,-99.11259775966751,19.36566722549517
0727,2181,488642.13050422544,2140869.5457324577,263.0,-99.10814922762181,19.361848641356012
0731,11610,489450.2859216417,2141191.127666555,425.0,-99.10045578977154,19.364759286317465
0746,7993,490185.5335335248,2140784.4647610164,652.0,-99.09345257671355,19.361087873129875
0750,9308,490720.69692382537,2141256.0991417975,237.0,-99.08835909392317,19.36535272679479
0765,3454,497263.5269559504,2141542.0872896546,71.0,-99.02605758054774,19.367956871274767
077A,4047,497463.4552051061,2141350.8083266383,165.0,-99.02415354465903,19.366228483884676
0784,6393,498409.4150528315,2141462.8010149314,437.0,-99.01514599802384,19.36724157040602
0801,3649,485721.69239788037,2140781.11198162,177.0,-99.13595682026231,19.36103079878935
0816,1207,486705.5378445335,2140977.4513978376,14.0,-99.12659011535976,19.36281193198596
0820,1112,486984.2844154981,2141029.149230131,20.0,-99.12393624304903,19.363280967176415
0835,6828,497828.4183604317,2140965.6085812734,392.0,-99.02067784544019,19.362747735839076
084A,7352,498575.16602717206,2140776.396285638,441.0,-99.01356715740675,19.361038430617107
0854,3289,499041.71510612295,2141097.9896608223,343.0,-99.00912487538606,19.36394505260512
0888,4544,500475.8921853509,2141558.0461868923,95.0,-98.99546839668358,19.36810290555881
0892,2220,500531.4952687093,2141303.460588748,118.0,-98.99493899668448,19.365802118862945
0905,2580,485854.37089627725,2140514.4641520935,153.0,-99.13469149096636,19.358621959411245
091A,1444,486773.87953363324,2140758.745071535,55.0,-99.1259378481247,19.36083586682054
0924,3759,486830.25143956224,2140547.4386244165,245.0,-99.1253996214079,19.358926595367237
0939,4294,487348.7187061744,2140736.418624639,293.0,-99.12046414578451,19.360637799027675
0943,3439,487821.2954471254,2140718.098858586,157.0,-99.1159642106035,19.360475158766985
0958,5599,488173.1361359973,2140744.9999736613,542.0,-99.11261419620409,19.360720375222627
0962,8084,489076.45347961906,2140516.086136108,248.0,-99.10401159949947,19.358656724433118
0977,7001,489871.9712612343,2140676.413330185,436.0,-99.09643771478969,19.36010982118392
0981,6435,490601.93216993083,2140638.8426104365,640.0,-99.0894869474329,19.359773830785723
1000,5229,492586.40954009426,2140543.396374623,240.0,-99.07059070194752,19.35891955723382
1015,6358,493022.8755723944,2140397.427521221,333.0,-99.0664342290257,19.3576019524381
1034,6566,493690.4861582733,2140456.025461939,237.0,-99.06007762425062,19.358133729185045
1049,4690,494200.3545894103,2140653.9797070255,134.0,-99.05522338760171,19.35992424354537
1053,7253,494225.27868298953,2140150.5881698965,218.0,-99.05498453936652,19.35537499997079
1087,5902,495980.94675133505,2140797.5406693257,254.0,-99.03826915181625,19.361226003455364
1091,4232,496647.8100572087,2140603.9145469028,318.0,-99.03191898506257,19.359477364072273
1104,6367,497354.40178009256,2140292.6201264327,478.0,-99.02519050689341,19.35666514777819
1123,3739,498760.4695113222,2140329.6643148395,77.0,-99.0118024217255,19.3570012881582
1138,4768,499558.8315243665,2140628.459122247,356.0,-99.00420073744722,19.359701930414136
1142,3200,500251.2616093292,2140964.297111511,82.0,-98.99760748185712,19.362737042063696
1157,2662,500494.89068084926,2140912.649255825,144.0,-98.99528765430878,19.362270238126918
1176,2180,487465.8011364177,2140061.250038517,145.0,-99.11934486257245,19.354536822316444
1180,2051,488079.082592488,2139960.035291123,246.0,-99.11350485533865,19.35362584472127
1195,3664,488536.9208959465,2139802.7809219486,330.0,-99.10914461487114,19.352207350541683
1208,991,488946.19441317965,2139921.649675611,252.0,-99.10524845002968,19.353283899070185
1227,5183,489999.5258881344,2140108.581056727,234.0,-99.09522017980765,19.35497877744709
1246,4327,492293.7078664351,2139832.1371624046,488.0,-99.0733748716188,19.352490572392107
1250,3051,492685.21441880846,2139895.4489701157,122.0,-99.06964741683107,19.35306420560244
1265,3915,493173.2117757339,2139897.7117594774,173.0,-99.06500098135297,19.35308637247318
127A,2174,493815.42798790656,2139535.019673017,325.0,-99.05888497276106,19.34981068180639
1284,1379,494258.7888151467,2139739.890872316,86.0,-99.05466423327368,19.351663487344503
1299,3461,494472.07394815766,2139226.9801339144,195.0,-99.05263197950372,19.347028737453996
1301,4045,494675.4086972935,2139218.3406896135,333.0,-99.05069598391272,19.3469512087888
1316,3355,495390.30039818346,2139582.409964091,137.0,-99.0438903075156,19.350243193426973
1335,0,499848.31635522423,2140415.7607482546,27.0,-99.0014442910965,19.357779747103375
134A,4839,500425.4447946384,2140273.120408819,309.0,-98.99594906028602,19.35649061930618
1354,5489,487917.07288659207,2139369.6083921683,284.0,-99.11504368601761,19.348288998730805
1369,6296,488487.5315901385,2139112.117849673,329.0,-99.1096107015961,19.345965320878626
1388,5484,489200.52206191875,2139070.063025619,290.0,-99.10282205933353,19.345589214611227
141A,4046,492150.19736191566,2139309.088071344,251.0,-99.07473914256151,19.347763047639024
1424,2881,492546.24045262835,2139102.246754085,294.0,-99.07096755128717,19.34589526054703
1439,2585,493030.8157517052,2139412.6297350996,110.0,-99.06635502613567,19.34870203501514
1443,1973,493444.4859996379,2139582.876818862,70.0,-99.06241697411244,19.35024200713951
1458,1726,493424.55815205426,2139267.9437800646,114.0,-99.06260562736618,19.34739578590072
1462,2160,493808.88246132113,2139172.6667295396,150.0,-99.05894611849942,19.346535955385452
1477,2157,494089.74208463955,2139270.1672431454,38.0,-99.05627233489518,19.34741794616734
1481,2435,494180.87916452764,2139062.569621465,10.0,-99.05540397402332,19.34554208161609
1496,2524,495326.3038415037,2139175.114592059,195.0,-99.04449863959162,19.34656217864621
1509,4535,496019.0630888385,2139829.6110071437,277.0,-99.03790418976567,19.352478576804895
1513,5064,496623.4111599481,2139826.360722315,442.0,-99.032149930286,19.35245030933706
1566,9689,488295.31522165134,2138414.3085620278,408.0,-99.11143651928468,19.339657876866987
1585,0,492000.6720238897,2138770.699418748,13.0,-99.07616053753354,19.342896857717648
159A,6649,492207.5302960937,2138685.2106886827,272.0,-99.07419071960791,19.342125079304424
1621,4393,493504.57461401157,2138476.4902428756,157.0,-99.06184108662242,19.34024340939649
1636,2883,493799.65013863856,2138396.2384477886,174.0,-99.05903149741629,19.339519077647623
1640,4166,494121.65762496047,2138536.919583246,165.0,-99.05596620414576,19.34079142903123
1655,2448,494627.8382662821,2138435.54329845,217.0,-99.05114670302657,19.339876672455016
166A,3498,495327.216170353,2138905.8670655694,196.0,-99.04448929384805,19.34412889837389
1674,3237,495747.08085134503,2139197.021754621,174.0,-99.04049243722183,19.346761095533203
1689,2788,496075.20797984005,2139086.3106287923,132.0,-99.03736808120318,19.34576122856503
1693,2012,496384.5750640676,2139059.362480137,133.0,-99.03442253579293,19.34551826910923
1706,7319,496813.7818663602,2139278.192488044,544.0,-99.03033641483154,19.34749663728604
1710,7600,497584.62967464403,2139373.6816926757,449.0,-99.02299718974714,19.348360680151654
1759,3567,495604.53386217204,2138493.939008393,260.0,-99.04184802055777,19.34040678710277
1763,6474,496037.0551056402,2138514.9233979345,410.0,-99.03773014938571,19.340597329344273
1778,6931,488724.13998596795,2138157.5359672066,356.0,-99.10735230598563,19.33733978680739
1814,3694,493644.5727374391,2138074.161143508,209.0,-99.06050686556893,19.33660786866466
1833,3848,488910.400628265,2137696.0957183903,132.0,-99.10557632561598,19.33317062972915
1848,3531,488699.9837329036,2137469.4795430363,106.0,-99.107578214226,19.331121450500177
1852,5424,489011.5085492373,2137226.140030127,219.0,-99.10461104484862,19.32892403277432
1867,11278,489572.2869401693,2136953.221369081,593.0,-99.09927091983009,19.326460555824077
1890,5546,491896.5672365921,2136815.7856269064,397.0,-99.07714340796595,19.325229202172427
1918,4953,493150.3562736608,2137146.600958591,247.0,-99.06520872562773,19.328223557145396
1941,4248,489900.67728083173,2136097.7478204938,135.0,-99.09614015403109,19.318731011752554
1960,3765,491803.9376339268,2136304.7779791583,316.0,-99.07802303462464,19.320610666938144
1975,3499,492189.54326190683,2136446.1226938237,75.0,-99.07435281280975,19.321889583506003
198A,6035,492394.274491757,2136028.5295089465,357.0,-99.07240218239095,19.318116425875424
1994,13946,492755.3139725351,2136329.5522453473,181.0,-99.06896643484487,19.320838209917806
2047,9950,492939.1338751833,2135741.7875153315,373.0,-99.06721437436622,19.315527017588444
2051,11206,494332.75170160923,2135710.3298866847,324.0,-99.05394804520576,19.315247128116788
2070,4041,491500.592450528,2134756.290913968,329.0,-99.08090386565307,19.30661516050384
2085,5799,491614.5254427836,2134969.951680333,233.0,-99.0798203018351,19.30854657041576
209A,3734,492403.3344622721,2135143.149906347,443.0,-99.0723124184253,19.31011495705726
2102,3577,492734.08259405295,2135163.008940054,412.0,-99.06916411464776,19.310295650920626
2117,3108,492662.92752817663,2134823.712725354,206.0,-99.06984013608543,19.30722904558614
2121,146,493340.54029749404,2134819.3485054704,111.0,-99.0633900625607,19.30719195855902
2140,7841,492109.5719623736,2134522.1845890377,313.0,-99.07510617071728,19.304501930503115
2155,3769,492498.42089710134,2134277.208143548,301.0,-99.07140389792048,19.302289470442403
216A,3673,492820.64196297794,2134289.5376247726,183.0,-99.06833687959563,19.302402070513935
2174,2349,493080.8467988516,2134546.7028735187,153.0,-99.06586104545578,19.304727081322806
2189,2349,493086.0747414132,2134130.325822551,81.0,-99.06580977767675,19.300964140657367
2193,2575,492937.32476472826,2133660.0227590348,67.0,-99.06722390873858,19.296713314456053
2206,1638,493187.4938478769,2133708.0948691354,31.0,-99.06484292330315,19.29714862185145
2371,1682,496532.5539268808,2143733.0241429466,112.0,-99.03302213073655,19.38775592293403
2386,3610,496563.07128868357,2143562.1654604287,189.0,-99.03273119092565,19.386211873698247
2390,3965,491631.2668037143,2143396.050274238,713.0,-99.07969790321931,19.384696126024284
2403,293,491560.02906965604,2142885.9300814867,629.0,-99.08037405894618,19.38008571800447
2437,5076,496086.5074270135,2142251.8406759496,208.0,-99.03726699740342,19.374369189509782
2441,4457,496483.0882295019,2142281.9823551597,168.0,-99.03349053541683,19.374642323538747
2456,4606,489623.8380690321,2142659.445109563,187.0,-99.0988112026295,19.37802982606176
2460,4473,489406.82420014363,2142204.0286083845,222.0,-99.10087526948178,19.37391295570649
2475,68,490267.5423811009,2142151.8070575055,7326.0,-99.09267867966255,19.373445372058306
2494,1941,499928.9181466149,2141227.2087870045,88.0,-99.00067685265637,19.36511307553376
2507,2181,499831.6167543818,2141079.783218361,95.0,-99.00160335888498,19.363780736609776
2511,996,486885.73266592046,2141338.702382127,11.0,-99.12487678585548,19.366077852411863
2526,1056,487084.65403765946,2141478.614169934,26.0,-99.1229835666837,19.367343567207087
2530,10096,498090.7511400307,2140224.024590668,441.0,-99.01817916466634,19.356046061731035
2545,6946,497810.86116119294,2139894.347537728,289.0,-99.02084379540442,19.35306637375499
255A,4901,491340.1308508541,2139669.560654545,215.0,-99.08245353752558,19.351017431311334
2564,6800,499555.14292449155,2139969.3717154735,371.0,-99.00423570594592,19.353745535927846
2579,4417,499063.1405172849,2139923.877947981,207.0,-99.00892028371331,19.353334224198942
2600,4667,498496.723776155,2139648.029337436,326.0,-99.01431318876939,19.350840942764723
2615,7690,499838.47633610014,2139743.396806398,273.0,-99.00153792817501,19.351703366833068
262A,5432,500300.73159452016,2139631.9906654493,241.0,-98.99713663779183,19.350696535595727
2634,4200,500468.4134667561,2139790.676447297,218.0,-98.9955400458018,19.35213060090714
2649,4309,500828.0333535967,2139875.178236675,212.0,-98.99211592264122,19.352894156218884
2653,3427,500993.81284790783,2139384.424719427,341.0,-98.99053771735001,19.348458974243908
2668,3460,501231.21638046997,2139362.3004066516,101.0,-98.98827736711439,19.348258897824937
2672,1034,490245.40237378754,2138292.002363382,22.0,-99.0928697649404,19.33856295985175
2687,4656,491270.9556438946,2139237.6691650804,102.0,-99.08311020119912,19.34711398479096
2691,7217,498134.1121734909,2139044.479016405,330.0,-99.01776514301109,19.345386147461685
2704,5016,500103.89342646004,2139247.364229182,231.0,-98.99901081822836,19.347220554498474
2719,4678,500727.8336139094,2139301.5385185317,209.0,-98.99307018823474,19.34771001709772
2723,3252,501627.39135699504,2139122.881193729,73.0,-98.9845055181342,19.34609490226291
2738,6698,499082.2101332868,2138984.069152481,493.0,-99.00873826068606,19.344840859065787
2757,5483,498008.73341797217,2138608.5316048567,322.0,-99.0189584208659,19.341446218837465
2776,7954,497431.88498939853,2138530.887638887,434.0,-99.02445036588429,19.340743869111417
2780,6872,498816.55127165373,2138820.3497869247,378.0,-99.01126749232196,19.343361131449225
2795,4830,500033.70988229,2139007.259655898,301.0,-98.99967904841061,19.345050648917596
2808,4320,493106.60259027174,2138655.38853285,195.0,-99.06563070875481,19.34185884989393
2812,3581,492750.08186610346,2138517.468564062,168.0,-99.069024548183,19.34061116573686
2831,4795,491703.70562863763,2137865.2325298456,274.0,-99.0789839776633,19.33471263830961
2846,4936,492687.76027979545,2138204.9333269345,167.0,-99.06961669787042,19.337786451089052
2850,3639,493191.3742958636,2138093.6084611043,271.0,-99.06482161015506,19.336782137631634
287A,2859,493885.9161026894,2138002.4495398365,287.0,-99.05820892652429,19.335960533958612
2884,3464,494244.25194646674,2138114.5319763706,139.0,-99.05479774150211,19.336974519694234
2899,6559,496487.7524413329,2138304.315290962,300.0,-99.03343879238186,19.33869482787835
2901,7668,496867.51028934424,2138065.4083740874,275.0,-99.02982286862076,19.33653636923788
2920,5442,500319.74951151,2138813.468907183,282.0,-98.99695569927185,19.343299269446184
2935,5663,500627.79876437876,2138992.527607791,253.0,-98.99402273654644,19.344917412541808
294A,3012,501057.42010442656,2138762.8509178692,338.0,-98.98993244495207,19.342841564378496
2954,1974,501417.23742240114,2138759.8112802263,74.0,-98.98650667482674,19.34281387266227
2969,2472,501764.0738061259,2138781.768707634,44.0,-98.98320447248194,19.3430120351641
2973,3752,500962.33902384486,2138548.3681336567,135.0,-98.99083780731762,19.34090325623532
