ageb,POBTOT,x,y,n_denue,lon,lat,dist_hosp_pub_m,dist_hosp_priv_m,pub_caminando_min,pub_auto_min,priv_caminando_min,hosp_mas_cercano,penaliza_publico_m
0017,5868,494314.1477775191,2144819.5127446293,532.0,-99.05415230440444,19.397569778518672,2034.1211959088287,1265.319121646541,27.121615945451047,6.102363587726487,16.87092162195388,Privado,768.8020742622878
0021,7518,493992.83306173695,2144355.016943797,205.0,-99.05721105172084,19.393371057059092,1949.7298042309092,1613.630062735937,25.996397389745457,5.849189412692728,21.515067503145826,Privado,336.09974149497225
0036,10273,494523.0769416042,2143898.1270093275,508.0,-99.05215980189502,19.389243525768286,1066.1349854963994,1190.2636052095215,14.215133139951991,3.1984049564891985,15.870181402793621,Publico,0.0
0040,3860,495110.2356593102,2144405.059429801,274.0,-99.04656926529,19.39382634258848,1081.583483311559,183.0447540279061,14.421113110820786,3.244750449934677,2.4405967203720813,Privado,898.5387292836529
0055,3701,491307.8580222581,2143932.6004823856,62.0,-99.08278026825349,19.389543713280677,4702.250810670551,4744.647619286293,62.696677475607345,14.106752432011653,63.26196825715057,Publico,0.0
006A,2957,493925.8734971825,2143659.172247398,54.0,-99.05784653958494,19.387082300022687,1767.2956897415945,2002.5568874764224,23.563942529887928,5.301887069224784,26.70075849968563,Publico,0.0
0074,2480,495007.2945320249,2144024.6985562127,151.0,-99.0475486602733,19.390388654767527,668.1582342100955,661.037717528787,8.908776456134607,2.004474702630287,8.81383623371716,Privado,7.1205166813085725
0089,2144,495457.94471705134,2144219.0159020643,308.0,-99.04325730123502,19.39214583002504,846.8537938427311,455.62190495041864,11.291383917903081,2.5405613815281933,6.074958732672249,Privado,391.23188889231244
0093,1677,490799.2248884678,2143816.9247217244,39.0,-99.08762371077252,19.38849604829648,4764.0672069432085,4068.82846713313,63.520896092576116,14.292201620829626,54.25104622844173,Privado,695.2387398100786
0106,1524,490975.0033392127,2143799.235228901,37.0,-99.08594959975235,19.38833698195705,4730.108081156968,4280.206055665484,63.06810774875957,14.190324243470906,57.06941407553979,Privado,449.902025491484
0110,1932,491348.4871764229,2143699.559289704,31.0,-99.0823922742528,19.38743782719338,4404.043731569411,4715.544292207424,58.720583087592146,13.212131194708233,62.873923896098994,Publico,0.0
013A,2880,494156.35845550575,2143517.445478371,61.0,-99.05565109704128,19.385802157356277,1468.6094899552077,1874.7360370686074,19.581459866069437,4.405828469865623,24.9964804942481,Publico,0.0
0144,1855,494812.1636000169,2143685.056238511,36.0,-99.0494060878558,19.38731870996783,624.90765966949,1169.4741588309362,8.332102128926534,1.8747229790084703,15.592988784412482,Publico,0.0
0178,2948,496220.7301672943,2143727.560010146,416.0,-99.03599176477375,19.387705978512788,1231.0223027970633,1622.3149567199462,16.413630703960845,3.6930669083911902,21.630866089599284,Publico,0.0
0182,2946,490597.8341237469,2143422.7364761475,26.0,-99.08953970941415,19.38493271904228,4282.163155610231,3684.7740114986664,57.09550874146975,12.846489466830693,49.13032015331555,Privado,597.3891441115647
0197,2762,491043.2368836445,2143335.070100812,41.0,-99.08529759337743,19.384142490384924,4125.393888326718,4235.362142698212,55.005251844356245,12.376181664980155,56.47149523597616,Publico,0.0
0214,6202,493321.8087122156,2142784.3570692157,313.0,-99.06359623880346,19.37917440946341,2757.717248497685,3318.717314477436,36.76956331330246,8.273151745493056,44.249564193032484,Publico,0.0
0229,0,493710.5559580367,2143325.8297060267,11.0,-99.05989599948964,19.384069119298577,2073.932379252131,2480.302457480256,27.652431723361744,6.221797137756393,33.07069943307008,Publico,0.0
0233,1933,494367.2115223037,2143066.3254437186,59.0,-99.0536417332901,19.38172585163662,1373.0129319545333,2154.6886034378617,18.30683909272711,4.1190387958636006,28.72918137917149,Publico,0.0
0248,1549,494559.3218642987,2143162.293945068,64.0,-99.05181251785766,19.38259367857423,1094.4099062479147,1924.182856151751,14.592132083305529,3.2832297187437445,25.65577141535668,Publico,0.0
0252,3188,494708.3166663729,2143411.923732404,68.0,-99.0503943089912,19.384850057599603,783.4444777627513,1547.3987586341184,10.445926370170017,2.3503334332882537,20.63198344845491,Publico,0.0
0271,4150,497110.035369779,2143367.534636589,281.0,-99.02752194706744,19.384453798207232,2392.0761837402297,2844.726990268592,31.894349116536397,7.17622855122069,37.92969320358123,Publico,0.0
0286,2480,496344.7877319407,2143235.14610298,92.0,-99.03480936072086,19.3832561139006,1455.1372920805159,2177.5194394978153,19.401830561073545,4.365411876241548,29.033592526637538,Publico,0.0
0290,1588,496342.79232313513,2143036.641645171,21.0,-99.034827982065,19.38146216435997,1554.3023390479336,2374.4326617075767,20.724031187305783,4.662907017143801,31.659102156101024,Publico,0.0
0303,1103,496214.235110155,2142998.8089494114,43.0,-99.0360521708226,19.381120020121223,1434.1932653384533,2317.024706321162,19.122576871179376,4.30257979601536,30.893662750948824,Publico,0.0
0318,3528,497460.020682443,2143185.567659632,154.0,-99.02418869579616,19.382809780413183,2878.0523209227395,3356.861826848918,38.37403094563653,8.634156962768218,44.75815769131891,Publico,0.0
0322,4540,487361.6000138488,2142826.3025882137,244.0,-99.12035535567918,19.37952479204589,3788.860508507401,598.156622183732,50.51814011343201,11.366581525522204,7.975421629116426,Privado,3190.703886323669
0337,5329,487718.3095867716,2142815.763305248,128.0,-99.1169583513682,19.37943176074937,3580.898912313352,142.72081255912556,47.745318830844695,10.742696736940056,1.9029441674550076,Privado,3438.1780997542264
