id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta,sector,tipo_establecimiento,distancia_vecino_mas_cercano_m,es_aislado
9468851,09007622111000313000000000U6,911 MED,911 MED SA DE CV,622111,Hospitales generales del sector privado,31 a 50 personas,CIRCUITO,INTERIOR AVENIDA RIO CHURUBUSCO,EJE VIAL,2 ORIENTE (CALZADA DE LA VIGA),CALLE,ARQUEOLOGOS,AVENIDA,EMILIO CARRANZA,824.0,,,,502.0,,COLONIA,EL RETOÑO,,,,9440.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,515,17,,GVEGA@LIFE.COM,WWW.LIFE.COM,Fijo,19.36959742,-99.12306352,2023-11,Privado,Hospital general privado,114.92377983046045,False
656726,09007621111004641000000000U7,ANALISTA LABORATORIO,,621111,Consultorios de medicina general del sector privado,0 a 5 personas,CALLE,SUR 107 A,AVENIDA,AGUSTIN YAÑEZ,CALLE,RODOLFO USIGLI,CALLE,SUR 109,523.0,,,,0.0,,COLONIA,SECTOR POPULAR,,,,9060.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,695,13,5551008897.0,DRCORTES_50@HOTMAIL.COM,,Fijo,19.36436856,-99.1169699,2010-07,Privado,Consultorio general privado,143.67519647543313,False
11160745,09007621111010351000000000U5,ATENCION MEDICA INTEGRAL AMI,,621111,Consultorios de medicina general del sector privado,0 a 5 personas,EJE VIAL,6 SUR CARDIOLOGOS,CALLE,MELCHOR OCAMPO,CALLE,DIBUJANTES,EJE VIAL,5 SUR (SANTA MARIA LA PURISIMA),50.0,,,,,,COLONIA,EL TRIUNFO,,,,9430.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,322,8,,,,Fijo,19.37519271,-99.12000437,2024-11,Privado,Consultorio general privado,87.98794696514398,False
838240,09007621111005192000000000U0,CENTRAL MEDICA PAOLA SC,CENTRAL MEDICA PAOLA SC,621111,Consultorios de medicina general del sector privado,6 a 10 personas,CALLE,FELIPE ANGELES,CALLE,OCAMPO,CALLE,PINO SUAREZ,CALLE,FRANCISCO ALVAREZ DEL CASTILLO,1639.0,,,,,,COLONIA,BARRIO DE SAN ANTONIO,,,,9900.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,209A,12,,,,Fijo,19.30796163,-99.07435816,2010-07,Privado,Consultorio general privado,58.19178769184799,False
842080,09007622311000011000000000U2,CENTRO COMUNITARIO DE ATENCION INTEGRAL PROGRESO,,621111,Consultorios de medicina general del sector privado,0 a 5 personas,CALLE,VILLA CASTIN,CALLE,ATUEL,AVENIDA,INSURGENTES,CALLE,VILLA CID,18.0,MZ35,,,0.0,MANZANA 35 LOTE 18,COLONIA,DESARROLLO URBANO QUETZALCOATL,,,,9700.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,305A,15,5555041262.0,,,Fijo,19.33488035,-99.0403372,2010-07,Privado,Consultorio general privado,273.39866007069025,False
783108,09007621112000155000000000U0,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES IZTAPALAPA,EL GOBIERNO FEDERAL DE LA SECRETARIA Y SALUD ,621116,Clínicas de consultorios médicos del sector público,51 a 100 personas,CALLE,BATALLA DE LOMA ALTA,EJE VIAL,M. BUENDIA 5 SUR (LEYES DE REFORMA),CALLE,4 DE DICIEMBRE DE 1860,CALLE,4 DE DICIEMBRE DE 1860,0.0,SN,,,0.0,,COLONIA,LEYES DE REFORMA TERCERA SECCION,,,,9310.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,411,1,,,,Fijo,19.37758117,-99.06964469,2010-07,Público,Clínica pública,58.705477798193606,False
874931,09007621111006381000000000U8,CENTRO DE ATENCION VISUAL,,621111,Consultorios de medicina general del sector privado,0 a 5 personas,CALLE,DEL ALAMO,CALLE,TURITZIO,CALLE,LAUREL,CALLE,PALMITAS (BRONCE),10.0,MANZANA 76,,,0.0,,COLONIA,PALMITAS,,,,9670.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,5573,4,,,,Fijo,19.33446213,-99.02547743,2011-03,Privado,Consultorio general privado,14.26027939610725,False
8628936,09007621115000053000000000U0,CENTRO DE REHABILITACION AL PIE DIABETICO EN MEXICO,,621115,Clínicas de consultorios médicos del sector privado,0 a 5 personas,CALLE,JOSE M QUINTERO,CALLE,JOSE ANTONIO VALENZUELA,CALLE,TRINIDAD GUERRERO,CALLE,MARCOS NEGRETE,18.0,MZ29,,,,,COLONIA,PARAJE SAN JUAN,,,,9830.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,2812,22,5537167755.0,REHABILITACIONANUNCIOS@GMAIL.COM,WWW.PIEDIABETICOENMEXICO.ORG.MX,Fijo,19.34243746,-99.07087718,2019-11,Privado,Clínica privada,152.0393649541101,False
838663,09007621112000134001000000U5,CENTRO DE SALUD,SERVICIO DE SALUD PUBLICA DEL DISTRITO FEDERAL ,621112,Consultorios de medicina general del sector público,51 a 100 personas,CALLE,DESPOSORIOS,AVENIDA,TLAHUAC,CALLE,SAN ANTONIO,CALLE,CANDELABRO,0.0,SN,,,,,COLONIA,BARRIO DE GUADALUPE,,,,9900.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,2102,8,,,,Fijo,19.31007505,-99.07046667,2010-07,Público,Consultorio general público,20.120772808870665,False
645578,09007621112000202001063089S0,CENTRO DE SALUD APATLACO,GOBIERNO DEL DISTRITO FEDERAL ,621112,Consultorios de medicina general del sector público,6 a 10 personas,EJE VIAL,5 SUR SANTA MARIA LA PURISIMA,CALLE,5 DE MAYO,CALLE,SIERRA NEVADA,CALLE,TLALOC,25.0,,,,,,CIUDAD,IZTAPALAPA,,,,9430.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,337,20,,,,Fijo,19.37964584,-99.11709299,2010-07,Público,Consultorio general público,117.55640080562775,False
11494864,09007621112000373000000000U9,CENTRO DE SALUD CENTRAL DE ABASTOS,SERVICIOS DE SALUD PUBLICA CIUDAD DE MEXICO ,621112,Consultorios de medicina general del sector público,11 a 30 personas,CALLE,NINGUNO,CALLE,NINGUNO,CIRCUITO,FRUTAS Y LEGUMBRES,CALLE,HUALQUILA,0.0,SN,,,,,ZONA FEDERAL,CENTRAL DE ABASTOS,,,,9040.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,2475,9,,,,Fijo,19.37386793,-99.09529317,2024-11,Público,Consultorio general público,82.11081743306111,False
818398,09007621112000144000000000U4,CENTRO DE SALUD DE 3 SANTIAGO ACAHUALTEPEC,DRA. AMERICA CONSUELO GONZALEZ ,621116,Clínicas de consultorios médicos del sector público,51 a 100 personas,CALLE,RETAMA,CALLE,SAUCE,CALLE,5 DE FEBRERO,CALLE,OCOTE,,SN,,,0.0,,COLONIA,2DA AMPL SANTIAGO ACAHUALTEPEC,,,,9606.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,2738,17,,ACONSUELO@SERSALUD.CDMX.GOB.MX,,Fijo,19.34543953,-99.00945122,2010-07,Público,Clínica pública,76.5041662764192,False
