id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
935490,09012621111002971000000000U0,ACUPUNTURA CHINA,,621111,Consultorios de medicina general del sector privado,0 a 5 personas,EJE VIAL,2 ORIENTE AVENIDA CANAL DE MIRAMONTES,AVENIDA,AVENIDA LA CARRETA,PROLONGACION,MANZANA O EDIFICACION CONTIGUA,ANDADOR,7,3695.0,,,,1.0,,CONJUNTO HABITACIONAL,NARCISO MENDOZA,,,,14390.0,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,712,27,,TONATIUHMELENDEZ@GMAIL.COM,,Fijo,19.28887089,-99.12626565,2014-12
849559,09012621511000161001000000U1,BIOTEC LAB,GIA DIAGNOSTAS SA DE CV,621111,Consultorios de medicina general del sector privado,0 a 5 personas,AVENIDA,TETIZ,CALLE,SINANCHE,CALLE,POPOLNA,CALLE,SOTUTA,21.0,,,,0.0,,COLONIA,PEDREGAL DE SAN NICOLAS 1ERA SECCION,,,,14100.0,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,052A,20,5556306555.0,DRYAMIGO@HOTMAIL.COM,,Fijo,19.29318526,-99.2335731,2010-07
11410211,09012621115000221000000000U3,CARDIO GERIATRA,,621115,Clínicas de consultorios médicos del sector privado,0 a 5 personas,AVENIDA,DIVISION DEL NORTE,CALLE,JOSE J. LUGO,CALZADA,CALZADA DEL HUESO,CALLE,DOCTOR ATL,4.0,,MEDI HEALTH,PLANTA BAJA,3.0,,COLONIA,BELISARIO DOMIGUEZ,"HOSPITAL, CENTRO MEDICO O CLINICA",MEDI HEALTH,3,14310.0,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,197,10,5556773302.0,,,Fijo,19.3070483,-99.1325118,2024-11
851219,09012621112000311001000000U9,CASA DE SALUD,GOBIERNO ,621112,Consultorios de medicina general del sector público,0 a 5 personas,CALLE,ROBLE,PRIVADA,ROBLE,CALLE,CEDROS,CALLE,SAUCE,0.0,SN,,,,,COLONIA,ZACATON,,,,14734.0,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,2206,14,,,,Fijo,19.26913371,-99.24268684,2010-07
848527,09012621112000141001000000U0,CASA DE SALUD,CASA DE SALUD POPULAR SANTA TERESA ,621112,Consultorios de medicina general del sector público,6 a 10 personas,CALLE,AKIL,CALLE,BALANCAN,CALLE,YAXKUKUL,CALLE,IZAMAL,0.0,SN,,,,,COLONIA,POPULAR SANTA TERESA,,,,14160.0,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,1369,15,,,,Fijo,19.29813018,-99.22307777,2010-07
851828,09012622112000231010000000U8,CASA DE SALUD LOMAS DE CUILOTEPEC,CASA DE SALUD LOMAS DE CUILOTEPEC S DE SS ,621116,Clínicas de consultorios médicos del sector público,0 a 5 personas,CALLE,TOTOLAPAN,CALLE,CEDROS,CALLE,BOSQUES,CALLE,ROBLE,2.0,MZ 7 LOTE 2,,,0.0,,COLONIA,VISTAS DE CUILOTEPEC,,,,14737.0,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,2047,27,,,,Fijo,19.27021788,-99.23160443,2014-12
1001801,09012621112000101001000000U4,CASA DE SALUD MESA LOS HORNOS,CASA DE SALUD ,621116,Clínicas de consultorios médicos del sector público,6 a 10 personas,CALLE,CEHUANTEPEC,ANDADOR,CUARTO XAMILTEPEC,CALLE,LA LOMA,ANDADOR,QUINTO XAMILTEPEC,0.0,SN,,,,,COLONIA,MESA LOS HORNOS,,,,14420.0,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,2225,22,,,,Fijo,19.27354349,-99.18263992,2010-07
918264,09012621112000281000000000U4,CASA DE SALUD PLAN DE AYALA,DELEGACION DE TLALPAN ,621112,Consultorios de medicina general del sector público,0 a 5 personas,CALLE,LEY FEDERAL DEL TRABAJO,CALLE,LEY DE EDUCACION,AUTOPISTA,MEXICO-CUERNAVACA,CALLE,LEY DE LA REFORMA AGRARIA,0.0,SN,,,,,COLONIA,PLAN DE AYALA,,,,14470.0,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,2441,46,5533484842.0,,,Fijo,19.2398391,-99.1478286,2014-12
916558,09012621112000332001000000U5,CASA DE SALUD TEXCALTENCO,GOBIERNO ,621112,Consultorios de medicina general del sector público,0 a 5 personas,CALLE,JOSE VASCONCELOS,CALLE,TEPEXIMILPA,CALLE,FLORES MAGON,CALLE,MACEDONIO ALCALA,0.0,SN,,,,SN,COLONIA,TEXCALTENCO,,,,14426.0,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,223A,23,,,,Fijo,19.27489592,-99.18743163,2014-12
862124,09012624412000163001000000U5,CASA DE SALUD VILLACOAPA,GOBIERNO ,621112,Consultorios de medicina general del sector público,6 a 10 personas,EJE VIAL,2 ORIENTE AVENIDA CANAL DE MIRAMONTES,OTRO(ESPECIFIQUE),NINGUNO,CALZADA,ACOXPA,EJE VIAL,2 ORIENTE (AVENIDA CANAL DE MIRAMONTES),263.0,,MERCADO VILLA COAPA,PLANTA BAJA,13.0,,COLONIA,NARCISO MENDOZA,MERCADO PUBLICO,MERCADO VILLA COAPA,13,14390.0,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,572,1,,,,Fijo,19.29183492,-99.12587205,2010-07
